id,产品类型,价格,传感器尺寸,传感器描述,传感器类型,型号,快门类型,显示屏类型,最高分辨率,有效像素,tags
909,4/3系统数码单电,4600,4/3画幅（17.3*13mm）,"彩色滤镜：基色滤镜
防尘系统：超声波滤镜",Live MOS,松下GX7套机(14-42mm),焦平面快门,旋转屏，高清屏,4592×3448,1600万,菜单功能 按键 功能
910,消费，三防,899,1/2.3英寸,,CMOS,理光WG-30W,,,4608×3456,1600万,
911,,24.9万,44×33mm,,CMOS,飞思IQ350MP,电子控制纵走式焦平面快门,触摸屏,,8280万,
912,消费,399,,PDAF相位对焦,背照式CMOS,小米小默AI相机,,,,,
913,微单,2799,4/3画幅（17.3*13mm）,,Live MOS,松下GF8套机(14-42mm),电子控制纵走式焦平面快门,触摸屏，翻转屏，高清屏,,1600万,
914,消费，三防,1400,1/2.3英寸,,,富士XP70,,,,1640万,外壳 机身 质地
915,消费，长焦，广角,2000,1/2.3英寸,,背照式CMOS,三星WB2200F,,,,1630万,
916,,概念产品,,,,索尼A77 III,,,,,
917,旁轴数码,7.36万,24×36mm,全画幅CMOS传感器,CMOS,徕卡M10套机(28mm f/5.6),,,5976×3992,2400万,
918,微单,1.59万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼ILCE-7S卡口适配器套装(转接环 LA-EA4),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,菜单功能 按键 功能
919,全景相机,1799,,,,三星Gear 360,,,7776×3888,1500万,
920,长焦,1499,1/2.3英寸,,CCD,柯达AZ422,,,,2016万,
921,,25.9万,中画幅（53.9*40.4mm）,,CCD,飞思IQ360MP,电子控制纵走式焦平面快门,触摸屏,,6000万,
922,微单,1.82万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼A7SII套机(28-70mm),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,
923,消费，卡片，广角,599,1/2.3英寸,,CCD,柯达FZ53,,LCD屏,4608×3456,1615万,
924,微单,概念产品,中画幅,,,富士X-T2 Pro,,,,,
925,,价格面议,,,,尼康D620,,,,2400万,
926,微单,2.12万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼ILCE-7套机(FE 28-135mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,操作 操控性 可玩性 追焦 追踪 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
927,微单,2.32万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II套机(FE 28-135mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
928,消费,1999,1/2.3英寸,,背照式CMOS,卡西欧FR200,电子快门,触摸屏,,1195万,
929,微单,1.02万,APS-C画幅（23.6*15.6mm）,,X-Trans CMOS III,富士X-T2(XF 35mm)碳晶灰版,电子控制纵走式焦平面快门,旋转屏,6000×4000,2430万,携带 便携性
930,数码后背,26.18万,中画幅（53.9*40.4mm）,像素大小：6.0μm,,玛米亚利图WS60,,触摸屏,8984×6732,6000万,
931,微单,1.65万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼ILCE-7S套机(FE 24-70mm),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,菜单功能 按键 功能
932,微单,1.22万,APS-C画幅（23.5*15.6mm）,,Exmor CMOS,索尼A6500套机(FE 28mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计
933,三防,即将上市,1/2.3英寸,,CMOS,理光WG-6,,,,,
934,微单,价格面议,1英寸,,,尼康1 J6,,,,,
935,长焦,即将上市,1/2.3英寸,,CMOS,奥林巴斯SH-3,,触摸屏，高清屏,,1600万,
936,单电,6799,APS画幅（23.6*15.6mm）,传感器清洁系统：超声波振动,X-Trans CMOS II,富士X-T1套机(XF 18mm f/2),焦平面快门,翻转屏，高清屏,4896×3264,1630万,工艺 做工 设计 结构 外形 外观 追焦 追踪
937,三防，运动,1299,1/2.3英寸,,CMOS,理光WG-M2,,LCD屏,3264×2448,800万,
938,高端单反,价格面议,全画幅,,,尼康N1404,,,,,
939,消费，卡片,2939,1/2.3英寸,,背照式CMOS,卡西欧TR350s十二星座限量版,机械电子快门,,4000×3000,1210万,
940,微单,概念产品,,,X-Trans III,富士X-T2s,,,,2400万,
941,专业,概念产品,,,,索尼RX1-X,,,,,
942,微单,2619,APS画幅（23.6*15.6mm）,超声波振动,CMOS,富士X-A1套机(XC16-50mm)白色限量版,焦平面快门,旋转屏，高清屏,4896×3264,1630万,手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计 防抖性 防抖 机震 操作 操控性 可玩性 外壳 机身 质地 结构 外形 外观
943,微单,2.78万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼ILCE-7S套机(28-135mm),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,
944,微单,3.51万,全画幅（35.6*23.8mm）,,Exmor RS CMOS,索尼ILCE-9套机(70-200mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
945,微单,3.27万,全画幅（35.6*23.8mm）,,Exmor RS CMOS,索尼ILCE-9套机(FE 55mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
946,微单,3.38万,全画幅（35.6*23.8mm）,,Exmor RS CMOS,索尼ILCE-9套机(16-35mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
947,消费，卡片，广角，四防,1850,1/2.3英寸,,背照式CMOS,奥林巴斯TG-850,,,,1600万,工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
948,单电,1.31万,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼A77 II套机(18-135mm，50mm F1.4),电子控制纵走式焦平面快门,翻转屏，高清屏,6000×4000,2430万,使用体验 使用 噪音 声音
949,微单,1.97万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼ILCE-7套机(24-70mm，70-200mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,操作 操控性 可玩性 追焦 追踪 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
950,消费，长焦,9499,,,CMOS,锡恩帝HX700,,,5152×3864,2000万,操作 操控性 可玩性
951,消费，长焦，广角,620,1/2.3英寸,,CCD,尼康L31,机械电子快门,,,1614万,
952,高端单反,价格面议,,,CMOS,佳能4K新概念相机,,,,,
953,微单,2.17万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II套机(FE 24-70mm，70-200mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
954,单电,5839,4/3画幅（17.3*13.0mm）,,Live MOS,奥林巴斯E-M10 II套机(40-150mm),焦平面快门,触摸屏，旋转屏,4608×3456,1610万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
955,消费，卡片,7888,1/2.3英寸,,背照式CMOS,卡西欧TR350s HELLO KITTY 40周年限量版,机械电子快门,,4000×3000,1210万,
956,旁轴数码,6.95万,24×36mm,全画幅CMOS传感器,CMOS,徕卡M10套机(50mm f/2.4),,,5976×3992,2400万,
957,微单,1.39万,APS-C画幅（23.5*15.6mm）,,Exmor CMOS,索尼A6500套机(55mm ZA),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计
958,单电,1.21万,4/3画幅（17.3*13mm）,,Live MOS,松下GH4套机(35-100mm),焦平面快门,高清屏，OLED屏,4608×3456,1605万,
959,消费,价格面议,,,,尼康P7200,,,,,
960,微单,1.28万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼ILCE-7套机(16-35mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,操作 操控性 可玩性 追焦 追踪 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
961,消费，专业,概念产品,1英寸,,CMOS,索尼RX20,,,,2010万,
962,,1658,,,,Google Clips,,,,,使用体验 使用
963,单电,1.29万,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼A77 II套机(16-80mm),电子控制纵走式焦平面快门,翻转屏，高清屏,6000×4000,2430万,使用体验 使用 噪音 声音
964,消费，卡片,600,,,CCD,卡西欧ZS26,机械电子快门,,4608×3456,,
965,全幅数码旁轴相机,即将上市,全画幅（36*24mm）,,CCD,徕卡M-MONOCHROM Jim Marshall Set限量版,,,5212×3472,1800万,
966,微单,概念产品,APS-C画幅,,,徕卡XY,,,,,
967,,概念产品,,,CMOS,宾得645D II,,,,10000万,
968,入门单反,4900,,无低通滤光镜,CMOS,宾得K-S2套机(18-50mm，50-200mm),,旋转屏,,2012万,防水性 防尘 三防 防滑性 菜单功能 按键 功能
969,消费，卡片，长焦，广角,799,1/2.3英寸,,CCD,卡西欧ZS50,机械电子快门,高清屏,4608×3456,1610万,手感 触感 握感 握把 握持 质感 手柄
970,消费，VR相机,即将上市,,,,小蚁Horizon VR180,,触摸屏，旋转屏,,,
971,微单,1.65万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼A7 II套机(FE 28-70mm，蔡司16-35mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,工艺 做工 设计 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
972,微单,4399,APS画幅（23.5*15.7mm）,,CMOS,三星NX3000套机(20-50mm，50-200mm),,旋转屏,5472×3648,2030万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 续航 电池
973,广角,788,,,,Insta360 Air,,,,,
974,高端单反,1.25万,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D500套机(24-85mm),,触摸屏，翻折屏,5568×3712,2090万,重量 分量 工艺 做工 设计 外壳 机身 质地
975,微单,3699,4/3画幅（17.3*13mm）,除尘系统：超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-PL7套机(14-42mm II R，40-150mm),电子控制焦平面快门,触摸屏，翻转屏,4608×3456,1610万,工艺 做工 设计
976,微单,6999,23.6×15.6mm,,X-Trans CMOS II,富士X-T10套机(XF 18-135mm),电子控制纵走式焦平面快门,旋转屏,,1630万,工艺 做工 设计 操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄
977,微单,5699,23.6×15.6mm,,X-Trans CMOS II,富士X-T10套机(XF 35mm),电子控制纵走式焦平面快门,旋转屏,,1630万,工艺 做工 设计 操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄
978,单电,7799,APS画幅（23.6*15.6mm）,传感器清洁系统：超声波振动,X-Trans CMOS II,富士X-T1套机(XF 35mm f/1.4),焦平面快门,翻转屏，高清屏,4896×3264,1630万,工艺 做工 设计 结构 外形 外观 追焦 追踪
979,消费，卡片,价格面议,,,,尼康A300,,,,,
980,卡片,859,1/2.33英寸,,CCD,三星DV180F,,,,,
981,微单,2.12万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼A7SII套机(16-35mm),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,
982,消费，长焦,1700,1/2.3英寸,,背照式CMOS（BSI CMOS）,三星WB2100,,旋转屏,4608×3456,1638万,菜单功能 按键 功能
983,微单,6298,APS-C画幅（23.6*15.7mm）,,CMOS,富士X-A3套机(XC 16-50mm，XF 27mm),电子控制纵走式焦平面快门,触摸屏，旋转屏,,2420万,
984,,价格面议,,,,佳能Lens Q,,,,,
985,消费，长焦，广角,749,,,,尼康L32,,,,,
986,入门单反,价格面议,,,,佳能EOS M20,,,,,
987,微单,2799,APS画幅（23.6*15.6mm）,超声波振动,CMOS,富士X-A1套机(XC16-50mm)悦色版,焦平面快门,旋转屏，高清屏,4896×3264,1630万,手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计 防抖性 防抖 机震 操作 操控性 可玩性 外壳 机身 质地 结构 外形 外观
988,消费,1699,1/2.3英寸,,背照式CMOS,卡西欧FR100CA,电子快门,,4000×3000,1020万,
989,全景相机,1699,,8.4MP,CMOS,三星Gear 360（2017）,,,,1500万,
990,微单,5399,23.6×15.6mm,,X-Trans CMOS II,富士X-T10套机(27mm f/2.8),电子控制纵走式焦平面快门,旋转屏,,1630万,工艺 做工 设计 操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄
991,微单,8098,17.3×13mm,,Live MOS,松下G7套机(12-35mm),,OLED屏，触摸屏，旋转屏,4592×3448,1600万,
992,消费，卡片,4999,1/1.7英寸,,背照式CMOS,卡西欧TR500礼盒版,机械快门,触摸屏，旋转屏,4000×3000,1110万,手感 触感 握感 握把 握持 质感 手柄
993,消费，长焦，广角,999,1/2.3英寸,,CCD,明基GH680,,旋转屏，高清屏,,2000万,
994,卡片，三防,价格面议,,,CMOS,尼康W100 E5特别版,,,,1317万,
995,消费,599,1/2.3英寸,,CMOS,卡西欧FR10礼盒版,,触摸屏,4320×3240,1400万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
996,消费，卡片，三防,1939,1/2.3英寸,,CMOS,奥林巴斯TG-860,,,,1600万,
997,消费，卡片，长焦，广角,839,,,背照式CMOS,三星WB351F,,触摸屏,4608×3456,1630万,
998,消费，广角,569,,,CCD,柯达FZ151,,,,1600万,
999,单电,6799,4/3画幅（17.3*13mm）,超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-M5套机(14-42mm II R),电子控制焦平面快门,触摸屏,4608×3456,1610万,操作 操控性 可玩性 外壳 机身 质地 工艺 做工 设计 防抖性 防抖 机震 体积 厚度 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 防水性 防尘 三防 防滑性
1000,单电,1.78万,APS画幅（23.5*15.7mm）,,背照式CMOS,三星NX1至尊套装(16-50mm),,触摸屏，OLED屏,6480×4320,2820万,工艺 做工 设计
1001,消费，长焦,999,1/2.3英寸,,背照式CMOS,柯达PixPro SL10,,,4608×3456,1635万,
1002,,概念产品,APS-C画幅,,Exmor CMOS,索尼RX5,电子快门,触摸屏,,,
1003,,1099,,,,宝丽来R360全景相机,,,,,携带 便携性
1004,微单,概念产品,44×33mm,1亿像素背照式索尼传感器,CMOS,哈苏X1D-100C,,,,,
1005,微单,8818,17.3×13mm,,Live MOS,松下G7套机(35-100mm),,OLED屏，触摸屏，旋转屏,4592×3448,1600万,
1006,消费，卡片，三防,1605,1/2.33英寸,,CMOS,松下TS6,,,,1600万,
1007,M4/3系统数码单电,3599,4/3画幅（17.3*13mm）,基色滤镜，超声波滤镜,Live MOS,松下GF6套机(14-42mm II，45-150mm),焦平面快门,触摸屏，旋转屏，高清屏,4592×3448,1600万,
1008,微单,概念产品,全画幅（35.8*23.8mm）,,CMOS,徕卡Q铬银色版,机械电子快门,触摸屏,,2400万,
1009,消费,899,,,,三星DV2014F,,触摸屏，双屏幕,4608×3456,1620万,
1010,多功能照相机,价格面议,,,,佳能MM100-WS,,,,,
1011,单反,概念产品,,,,哈苏V1D,,,,7500万,
1012,消费，卡片,6099,1/1.7英寸,,背照式CMOS,卡西欧TR500施华洛世奇礼盒版,机械快门,触摸屏，旋转屏,4000×3000,1110万,手感 触感 握感 握把 握持 质感 手柄
1013,卡片，三防,概念产品,1/2.33英寸,,背照式CMOS,奥林巴斯Tough TG新款,,彩色LCD显示屏,4000×3000,1200万,
1014,微单,3399,4/3画幅（17.3*13mm）,原色滤镜,Live MOS,松下GF7套机(12-32mm，35-100mm),电控焦平面快门，电子快门,触摸屏，翻转屏，高清屏,4592×3448,1600万,
1015,,概念产品,中画幅（53.4×40mm）,,sony CMOS,飞思iXU-R 1000,,,11608×8708,10000万,
1016,,价格面议,,,,尼康N16D3,,,,,
1017,消费，卡片,4199,1/1.7英寸,,背照式CMOS,卡西欧TR750奇幻绿礼盒版,电子快门,触摸屏，旋转屏,4000×3000,1110万,工艺 做工 设计
1018,消费，卡片,2599,1/1.7英寸,,CMOS,卡西欧ZR5100,机械电子快门,旋转屏,4000×3000,1210万,
1019,全景相机,699,,,,努比亚VR全景相机,,,,,
1020,单电,5499,4/3画幅（17.3*13.0mm）,,Live MOS,奥林巴斯E-M10 II套机(45mm),焦平面快门,触摸屏，旋转屏,4608×3456,1610万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素
1021,高端单反,概念产品,全画幅,,CMOS,宾得K-1套机(HD 77mm Limited),,旋转屏,,3600万,
1022,4/3系统数码单电,9698,4/3画幅,,Live MOS,松下GX8套机(14-140mm),,,,2030万,续航 电池 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
1023,,1299,1/2.3英寸,,CCD,柯达AZ421,机械电子快门,,4608×3456,1615万,
1024,微单,2999,1英寸（13.2*8.8mm）,颜色滤镜：RGB 原色滤镜,背照式CMOS,三星NX mini套机(9mm，9-27mm),,触摸屏，旋转屏，高清屏,5472×3648,2050万,携带 便携性 结构 外形 外观
1025,移轴机,8.59万,,,,阿尔帕12 XY,,,,,
1026,微单,4498,APS画幅（23.5*15.7mm）,,CMOS,三星NX300套机(18-50mm，50-200mm),电子控制纵走式焦平面快门,触摸屏，高清屏，AMOLED显示屏,5472×3468,2030万,
1027,微单,即将上市,4/3画幅（17.3*13mm）,,Live MOS,松下GF8套机(35-100mm),电子控制纵走式焦平面快门,触摸屏，翻转屏，高清屏,,1600万,
1028,消费，卡片，长焦，广角,6999,1/2.3英寸,,CCD,锡恩帝HX600,机械电子快门,高清屏,4608×3456,1615万,
1029,消费，长焦，广角,1400,,,CCD,三星WB110,,,,,
1030,中画幅,4.94万,,,,阿尔帕12 TC SILVER,,,,,
1031,消费，长焦,5399,,,CMOS,锡恩帝HX800,,,5152×3864,2000万,
1032,微单,概念产品,,,,富士XQ10,,,,,
1033,消费，长焦,概念产品,1/2.3英寸,,CMOS,卡西欧EX-ZR1800,,,,1610万,
1034,长焦,1199,1/2.3英寸,,CCD,柯达PIXPRO AZ365,,高清屏,,1615万,
1035,消费,概念产品,1英寸,,CMOS,三星NX mini 2,,,,,
1036,,即将上市,,,,徕卡Terry OʼNeill限量版,,,,,
1037,,概念产品,,,,富士FF 180002,,,,,
1038,消费，卡片,价格面议,1/2.3英寸,,CCD,尼康L30,机械电子快门,,4608×3456,1614万,
1039,消费,概念产品,全画幅,,CMOS,理光GR-E,,,,3600万,
1040,消费，长焦，广角,1799,1/2.3英寸,,CMOS,三星WB2014F,,触摸屏，高清屏,4608×3456,1630万,
1041,消费，长焦,价格面议,,,CMOS,尼康L640,,,,,
1042,消费，长焦，广角,概念产品,,,,富士S9950W,,,,,
1043,微单,概念产品,中画幅,,,富士X-MF1,,,,,
1044,消费，三防,概念产品,,,,理光WG-50,,,,,
1045,消费，VR相机,即将上市,,,,联想Mirage Daydream,,触摸屏,,,
1046,微单,概念产品,,,,富士XC10,,,,,
1047,消费，长焦，广角,6999,（1/2.3）英寸,,CCD,锡恩帝HX650,机械电子快门,高清屏,4608×3456,1615万,
1048,消费，长焦，广角,概念产品,,,,富士S9750,,,,,
1049,消费，卡片,6099,1/1.7英寸,,CMOS,卡西欧TR600爱之橙礼盒版,电子快门,触摸屏，旋转屏,4000×3000,1110万,
